date;fund_movement;Sjunde_AP_fonden;movement_without_AP_fund
13.12.2000;100;100;100
14.12.2000;98.4;98.5;98.3
15.12.2000;96.3;96.6;96.2
16.12.2000;96.3;96.6;96.2
17.12.2000;96.3;96.6;96.2
18.12.2000;96.4;97.1;96.1
19.12.2000;96.9;97.5;96.6
20.12.2000;93.7;94.3;93.4
21.12.2000;92.1;92.9;91.8
22.12.2000;93.4;94.4;93
23.12.2000;93.4;94.4;93
24.12.2000;93.4;94.4;93
25.12.2000;93.4;94.4;93
26.12.2000;93.4;94.4;93
27.12.2000;94.5;95.4;94.1
28.12.2000;95.5;96.2;95.1
29.12.2000;95.5;96.2;95.2
30.12.2000;95.5;96.2;95.2
31.12.2000;95.5;96.2;95.2
01.01.2001;95.5;96.2;95.2
02.01.2001;94.3;95;94
03.01.2001;91.6;93.2;91
04.01.2001;94.9;96.2;94.3
05.01.2001;94.9;96.2;94.3
06.01.2001;94.9;96.2;94.3
07.01.2001;94.9;96.2;94.3
08.01.2001;93.1;94.4;92.6
09.01.2001;93;94.6;92.4
10.01.2001;92.4;93.7;91.8
11.01.2001;92.6;93.9;92
12.01.2001;93.9;94.9;93.4
13.01.2001;93.9;94.9;93.4
14.01.2001;93.9;94.9;93.4
15.01.2001;94.7;95.7;94.2
16.01.2001;94.3;95.4;93.8
17.01.2001;96.2;97.2;95.8
18.01.2001;96;96.7;95.7
19.01.2001;96;96.7;95.7
20.01.2001;96;96.7;95.7
21.01.2001;96;96.7;95.7
22.01.2001;96.7;97.4;96.4
23.01.2001;96.4;97.1;96.1
24.01.2001;97.7;98.1;97.5
25.01.2001;98;98.7;97.8
26.01.2001;96.8;97.5;96.5
27.01.2001;96.8;97.5;96.5
28.01.2001;96.8;97.5;96.5
29.01.2001;96.8;97.3;96.6
30.01.2001;97.3;97.6;97.2
31.01.2001;97.7;98.3;97.4
01.02.2001;97.1;97.6;96.9
02.02.2001;97.2;98.1;96.8
03.02.2001;97.2;98.1;96.8
04.02.2001;97.2;98.1;96.8
05.02.2001;95.5;96.5;95.1
06.02.2001;96.2;97.1;95.9
07.02.2001;95.5;96.5;95
08.02.2001;95.5;96.5;95.1
09.02.2001;94;95.3;93.5
10.02.2001;94;95.3;93.5
11.02.2001;94;95.3;93.5
12.02.2001;93.6;94.9;93
13.02.2001;95.1;96;94.7
14.02.2001;93.6;94.8;93
15.02.2001;94.8;95.7;94.4
16.02.2001;93;94.1;92.5
17.02.2001;93;94.1;92.5
18.02.2001;93;94.1;92.5
19.02.2001;92.8;93.9;92.3
20.02.2001;93.4;94.6;92.9
21.02.2001;91.7;92.9;91.2
22.02.2001;91;92;90.5
23.02.2001;90;91.5;89.3
24.02.2001;90;91.5;89.3
25.02.2001;90;91.5;89.3
26.02.2001;90.7;92;90.1
27.02.2001;91.1;92.4;90.5
28.02.2001;90.7;92.3;90
01.03.2001;88.7;90.1;88.2
02.03.2001;88.2;89.6;87.7
03.03.2001;88.2;89.6;87.7
04.03.2001;88.2;89.6;87.7
05.03.2001;89.5;90.8;88.9
06.03.2001;91.1;92.4;90.6
07.03.2001;91.1;92.3;90.5
08.03.2001;90.7;92.3;90.1
09.03.2001;89.7;91.2;89
10.03.2001;89.7;91.2;89
11.03.2001;89.7;91.2;89
12.03.2001;87.2;89;86.5
13.03.2001;85.8;87.8;85.1
14.03.2001;84.9;86.9;84.1
15.03.2001;86;87.7;85.3
16.03.2001;85.2;87.1;84.4
17.03.2001;85.2;87.1;84.4
18.03.2001;85.2;87.1;84.4
19.03.2001;84.5;86.5;83.7
20.03.2001;85.2;87.1;84.5
21.03.2001;84;86.1;83.1
22.03.2001;82.7;84.6;81.8
23.03.2001;83.6;85.5;82.8
24.03.2001;83.6;85.5;82.8
25.03.2001;83.6;85.5;82.8
26.03.2001;85.2;86.8;84.5
27.03.2001;85.9;87.4;85.3
28.03.2001;86.4;88.3;85.6
29.03.2001;84.9;87;84
30.03.2001;84.5;86.6;83.7
31.03.2001;84.5;86.6;83.7
01.04.2001;84.5;86.6;83.7
02.04.2001;84.4;86.8;83.4
03.04.2001;82.8;85.4;81.7
04.04.2001;81.3;83.9;80.3
05.04.2001;83.4;86.1;82.3
06.04.2001;83.4;86.3;82.2
07.04.2001;83.4;86.3;82.2
08.04.2001;83.4;86.3;82.2
09.04.2001;83.9;86.6;82.8
10.04.2001;85;87.5;84
11.04.2001;86.4;88.6;85.5
12.04.2001;86.4;88.6;85.5
13.04.2001;86.4;88.6;85.5
14.04.2001;86.4;88.6;85.5
15.04.2001;86.4;88.6;85.5
16.04.2001;86.4;88.6;85.5
17.04.2001;85.7;88.1;84.7
18.04.2001;88.1;90.3;87.2
19.04.2001;89.5;91.6;88.7
20.04.2001;89.2;91.4;88.2
21.04.2001;89.2;91.4;88.2
22.04.2001;89.2;91.4;88.2
23.04.2001;88.1;90.4;87.2
24.04.2001;88.1;90.4;87.1
25.04.2001;88;90.3;87
26.04.2001;88.8;91.2;87.8
27.04.2001;89.7;92.1;88.7
28.04.2001;89.7;92.1;88.7
29.04.2001;89.7;92.1;88.7
30.04.2001;89.7;92.1;88.7
01.05.2001;89.7;92.1;88.7
02.05.2001;92.3;94.1;91.6
03.05.2001;90.9;92.6;90.2
04.05.2001;90.2;92.1;89.4
05.05.2001;90.2;92.1;89.4
06.05.2001;90.2;92.1;89.4
07.05.2001;92.1;94.1;91.2
08.05.2001;91.8;93.5;91.1
09.05.2001;91;92.7;90.2
10.05.2001;91.9;93.7;91.2
11.05.2001;91.2;93;90.4
12.05.2001;91.2;93;90.4
13.05.2001;91.2;93;90.5
14.05.2001;90.5;92.4;89.7
15.05.2001;90.4;92.5;89.5
16.05.2001;90;91.9;89.2
17.05.2001;92.5;94.5;91.7
18.05.2001;93.1;94.8;92.3
19.05.2001;93.1;94.8;92.3
20.05.2001;93.1;94.8;92.3
21.05.2001;93.6;95.3;92.8
22.05.2001;95.2;96.7;94.6
23.05.2001;95.2;96.7;94.6
24.05.2001;95.2;96.7;94.6
25.05.2001;94.5;95.3;94.2
26.05.2001;94.5;95.3;94.2
27.05.2001;94.5;95.3;94.2
28.05.2001;94.1;95.3;93.7
29.05.2001;94.1;95.2;93.6
30.05.2001;92.8;94.3;92.1
31.05.2001;93;94.3;92.4
01.06.2001;93.2;94;92.9
02.06.2001;93.2;94;92.9
03.06.2001;93.2;94;92.9
04.06.2001;93.2;94;92.9
05.06.2001;94.9;95.6;94.6
06.06.2001;95.1;95.8;94.8
07.06.2001;95;95.6;94.7
08.06.2001;94.9;95.5;94.6
09.06.2001;94.9;95.5;94.6
10.06.2001;94.9;95.5;94.6
11.06.2001;93.8;94.7;93.5
12.06.2001;91.7;92.6;91.4
13.06.2001;91.9;93.2;91.3
14.06.2001;90.3;91.7;89.7
15.06.2001;88.3;89.7;87.8
16.06.2001;88.3;89.7;87.8
17.06.2001;88.3;89.7;87.8
18.06.2001;88.1;89.8;87.4
19.06.2001;88.5;90.2;87.8
20.06.2001;87.9;89.6;87.2
21.06.2001;88.5;90.1;87.9
22.06.2001;88.5;90.1;87.9
23.06.2001;88.5;90.1;87.9
24.06.2001;88.5;90.1;87.9
25.06.2001;88.6;90.4;87.9
26.06.2001;87.8;89.6;87
27.06.2001;88.4;90;87.7
